fecha	cols	rows	boosting	objective	metric	data_sample_strategy	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	feature_fraction	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231130 202651	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	425	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.135808196352891	55	5562	0.660622628130517	0.90845429756478	44	0.274218980836824	0.443125096970174	11221	160401445.777111	49
20231130 202955	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	307	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.125736253345952	67	3003	0.662996273249009	0.887670943861341	29	0.520973671876451	0.184833996057609	12742	163836444.777611	50
20231130 203430	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	726	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0730731305253815	61	4634	0.662328090727942	0.878179672306219	32	0.464684660618624	0.264091618274928	12126	163055551.224388	51
20231130 203714	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.215701828278272	62	5302	0.663344382641256	0.886807378886365	39	0.235628151693301	0.178455369670815	12390	161923573.213393	52
20231130 204145	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	818	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.118023651603094	42	2262	0.662600739919171	0.862965449647923	35	0.21870925808813	0.0367048537855986	12662	160523601.1994	53
20231130 204419	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	385	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.13324003014602	63	4987	0.662522610845067	0.885243892059807	7	0.331940810727025	0.421575111354225	14289	163279848.575712	54
20231130 204812	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	371	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0854878109522623	88	2631	0.665232014915046	0.889606078637333	28	0.324812865143256	0.475221012169726	10068	163954104.947526	55
20231130 205850	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1747	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.101193092994661	76	6941	0.6627984994605	0.888180829776674	24	0.338756011627498	0.123374289767636	12081	158444594.202899	56
20231130 210205	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	311	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.128994990727705	62	3629	0.710050169382302	0.907786290778466	34	0.464333911482855	0.295858131874691	11608	161799392.303848	57
20231130 210611	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	678	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0837680489874483	41	3064	0.665881998236251	0.862041587643815	35	0.29625617539722	0.372122807423699	12340	163233913.043478	58
20231130 211546	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1617	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.127738700873241	53	6197	0.664396425116371	0.918304575395233	36	0.155233824359116	0.268780632900941	11734	156208606.696652	59
20231130 211856	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	264	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.140592226308636	69	2970	0.664116170192726	0.873390992128348	26	0.509638103497987	0.268843207791167	11172	160613891.054473	60
20231130 212650	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1226	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.141755809397062	31	6337	0.736985545898048	0.880606278019072	7	0.323915991251392	0.147613594431679	10957	161251184.907546	61
20231130 213018	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	644	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0823033095735573	35	4100	0.792484141195289	0.925607368397502	43	0.311577493463564	0.242065231196443	13273	161452418.290855	62
20231130 213322	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	443	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0860554927802679	91	2149	0.630694026484756	0.89957488387946	24	0.235404263937454	0.287077309910009	13154	162194603.698151	63
20231130 213625	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	503	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.143149502017808	86	7211	0.631213485751677	0.880819992539385	13	0.328590320639746	0.320883672866156	11275	160892271.364318	64
20231130 214259	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1696	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0860568347158161	59	8079	0.672569817937039	0.848126198387803	17	0.36266550207807	0.278038510465402	11487	159016467.266367	65
20231130 214632	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	587	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.13949493604415	59	1216	0.711352310486295	0.928312689699994	42	0.341762790556967	0.273586846546183	11393	158844122.438781	66
20231130 215041	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.116396493623383	10	3381	0.661514244732619	0.964037812052677	35	0.277639428297426	0.244888062605783	11543	161581328.835582	67
20231130 215415	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	486	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0992899146934301	56	3300	0.660009611052099	0.919844878560461	20	0.322692747380896	0.34442690237035	13352	162900277.861069	68
20231130 215700	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	499	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.142378226229676	70	4451	0.66413729096362	0.792093139122638	30	0.322218785221811	0.193285163780919	13929	162354771.114443	69
20231130 220031	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	417	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0947734452241384	66	4282	0.657584078087754	0.723084234078191	41	0.543131000134255	0.211987381001063	11041	161821525.737131	70
20231130 220855	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0772162396819059	61	3752	0.66527453196111	0.930578375511655	47	0.249890385718208	0.24105517010639	11090	160153948.025987	71
20231130 221259	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	744	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0842867565243992	42	2724	0.658462670115272	0.886583172453337	22	0.281747312953457	0.311824393269127	12196	159910938.530735	72
20231130 221907	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1023	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0526648076795167	78	2335	0.662510179347904	0.881058721138292	45	0.322564208428824	0.341531760749854	13284	160448381.809095	73
20231130 222222	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	474	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.12161078782489	89	7254	0.661903538378457	0.965534947726689	13	0.398432679784236	0.321389854652668	12500	161485067.466267	74
20231130 222456	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	231	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.173139627303936	50	4231	0.66283839016755	0.676765912265686	49	0.482469165248904	0.21509465497955	10736	161340533.733133	75
20231130 222859	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1331	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.129924813660674	32	7460	0.662254264787997	0.855245598531604	4	0.317965718129095	0.320785527550282	11730	160929020.489755	76
20231130 223117	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	345	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.180525799952908	25	3634	0.662729968695074	0.890784304939444	33	0.313483179740874	0.257126457023625	11742	162760102.948526	77
20231130 223312	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0371722993424756	68	3695	0.662399771418651	0.86056970367855	26	0.293882089866219	0.206655292429175	12612	157325675.162419	78
20231130 223754	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	705	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0872236834145722	60	2565	0.662359439863823	0.838043880913843	39	0.279023259487879	0.411092356247339	11423	159469224.887556	79
20231130 225215	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	2582	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0931506501012229	36	10449	0.66075001866173	0.855545239232912	38	0.244090423917846	0.222374269396559	13696	159332397.801099	80
20231130 225534	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	322	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.136545401625576	60	7047	0.665547203546336	0.845611334502956	36	0.330738710892604	0.543968974401672	11721	162374389.305347	81
20231130 225830	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	298	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.141821880737545	50	3536	0.665077933819419	0.704495095609795	42	0.328497016792653	0.369656464990332	10427	161931419.790105	82
